label,channel_k,min,max,mean,sum
"Case 5 (OS, big tile)",5,-126.448807,267.325073,0.251837,4126.091309
"Case 5 (OS, big tile)",6,-132.778564,263.720764,0.361985,5930.757324
"Case 5 (OS, big tile)",7,-133.091339,254.754669,-0.686695,-11250.809570
"Case 5 (OS, big tile)",8,-142.798996,260.329590,0.169380,2775.113770
"Case 5 (OS, big tile)",9,-135.409821,265.430969,0.326046,5341.937012
"Case 5 (OS, big tile)",10,-135.260269,258.715546,0.182141,2984.194824
"Case 5 (OS, big tile)",11,-128.920441,259.293579,0.161817,2651.204590
"Case 5 (OS, big tile)",12,-125.934837,256.955505,0.397761,6516.922852
"Case 5 (OS, big tile)",13,-133.251694,261.218506,0.257478,4218.521484
"Case 5 (OS, big tile)",14,-133.505463,255.337570,-0.578862,-9484.070312
"Case 5 (OS, big tile)",15,-136.598450,260.630066,0.023102,378.508972
"Case 5 (OS, big tile)",16,-137.727570,267.245209,0.377633,6187.144531
"Case 5 (OS, big tile)",17,-137.651917,263.555573,0.474350,7771.752930
"Case 5 (OS, big tile)",18,-128.693054,266.131165,0.223526,3662.252686
"Case 5 (OS, big tile)",19,-126.989655,257.718109,0.472528,7741.902344
"Case 5 (OS, big tile)",20,-133.505554,268.734894,0.149220,2444.824463
"Case 5 (OS, big tile)",21,-133.054535,254.079147,0.212638,3483.860352
"Case 5 (OS, big tile)",22,-135.500580,265.191528,-0.107701,-1764.574829
"Case 5 (OS, big tile)",23,-134.076523,266.285248,0.482563,7906.319336
"Case 5 (OS, big tile)",24,-133.994385,262.567200,0.580661,9513.556641
"Case 5 (OS, big tile)",25,-130.069107,260.650238,0.208974,3423.829102
"Case 5 (OS, big tile)",26,-128.533630,265.365112,0.234469,3841.538574
"Case 5 (OS, big tile)",27,-137.051910,267.974854,0.154050,2523.952637
"Case 5 (OS, big tile)",28,-136.339157,256.586609,-0.296233,-4853.475586
"Case 5 (OS, big tile)",29,-134.967590,263.534271,-0.204704,-3353.871582
"Case 5 (OS, big tile)",30,-130.773972,260.376465,0.406051,6652.742676
"Case 5 (OS, big tile)",31,-133.832504,254.462631,0.300559,4924.359375
"Case 5 (OS, big tile)",32,-132.720490,265.235291,0.241088,3949.988281
"Case 5 (OS, big tile)",33,-133.354813,268.857605,0.276113,4523.840820
"Case 5 (OS, big tile)",34,-138.715073,266.296387,0.152585,2499.951416
"Case 5 (OS, big tile)",35,-135.139664,258.720398,-0.282075,-4621.523438
"Case 5 (OS, big tile)",36,-136.539276,264.143005,-0.170702,-2796.776611
"Case 5 (OS, big tile)",37,-125.981621,257.464478,0.239123,3917.792969
"Case 5 (OS, big tile)",38,-131.047302,262.294617,0.421842,6911.463379
"Case 5 (OS, big tile)",39,-134.826965,270.228088,0.461479,7560.875977
"Case 5 (OS, big tile)",40,-134.494873,279.912079,0.291630,4778.066895
"Case 5 (OS, big tile)",41,-133.086929,260.247284,0.265138,4344.020508
"Case 5 (OS, big tile)",42,-133.730774,254.976837,0.302270,4952.385742
"Case 5 (OS, big tile)",43,-132.685074,254.439026,-0.127193,-2083.924561
"Case 5 (OS, big tile)",44,-125.919952,251.787369,0.367090,6014.400879
"Case 5 (OS, big tile)",45,-133.310715,262.721893,0.429469,7036.421875
"Case 5 (OS, big tile)",46,-135.961761,266.312225,0.362980,5947.056152
"Case 5 (OS, big tile)",47,-134.966141,273.703094,0.317197,5196.948242
"Case 5 (OS, big tile)",48,-137.051910,259.129028,0.107011,1753.262451
"Case 5 (OS, big tile)",49,-141.706619,257.060394,-0.240197,-3935.388916
"Case 5 (OS, big tile)",50,-128.410461,250.852890,-0.176433,-2890.676514
"Case 5 (OS, big tile)",51,-126.653084,254.744598,0.224789,3682.944336
"Case 5 (OS, big tile)",52,-135.190323,268.135498,0.482443,7904.353516
"Case 5 (OS, big tile)",53,-132.749298,270.112030,0.083729,1371.820312
"Case 5 (OS, big tile)",54,-134.076843,269.720490,0.323833,5305.676758
"Case 5 (OS, big tile)",55,-135.987396,263.243530,0.225385,3692.715332
"Case 5 (OS, big tile)",56,-134.497559,259.383118,-0.301748,-4943.840820
"Case 5 (OS, big tile)",57,-128.991287,253.963745,-0.081626,-1337.359009
"Case 5 (OS, big tile)",58,-130.653473,256.018463,0.117902,1931.714355
"Case 5 (OS, big tile)",59,-139.651764,269.856415,0.471366,7722.859375
"Case 5 (OS, big tile)",60,-137.651917,265.899689,0.356190,5835.820312
"Case 5 (OS, big tile)",61,-134.494873,275.486389,0.271414,4446.846680
"Case 5 (OS, big tile)",62,-129.151932,258.853577,0.345232,5656.273926
"Case 5 (OS, big tile)",63,-132.926483,264.409607,0.301020,4931.918457
"Case 6 (OS, 1x1)",0,-42.812634,82.513107,0.078912,1292.887817
"Case 6 (OS, 1x1)",1,-43.201462,86.981003,0.028647,469.348328
"Case 6 (OS, 1x1)",2,-42.724087,83.176224,0.014014,229.602814
"Case 6 (OS, 1x1)",3,-42.869358,82.471291,0.017996,294.847198
"Case 6 (OS, 1x1)",4,-42.889076,86.907188,-0.001384,-22.675241
"Case 6 (OS, 1x1)",5,-42.444149,82.692955,-0.025499,-417.774506
"Case 6 (OS, 1x1)",6,-42.384014,86.775047,-0.104584,-1713.496460
"Case 6 (OS, 1x1)",7,-41.611435,83.949440,0.003141,51.455307
"Case 6 (OS, 1x1)",8,-43.000195,84.439690,-0.012476,-204.412338
"Case 6 (OS, 1x1)",9,-42.200401,81.960136,0.002667,43.697281
"Case 6 (OS, 1x1)",10,-42.833778,84.069374,-0.008137,-133.312180
"Case 6 (OS, 1x1)",11,-43.136982,84.560417,0.000043,0.699219
"Case 6 (OS, 1x1)",12,-42.629341,85.354065,-0.012331,-202.037430
"Case 6 (OS, 1x1)",13,-42.160290,82.442947,0.013580,222.490356
"Case 6 (OS, 1x1)",14,-41.235741,87.094116,0.000264,4.322348
"Case 6 (OS, 1x1)",15,-43.084362,82.126183,0.060295,987.873840
"Case 6 (OS, 1x1)",16,-42.507168,88.703865,0.088318,1447.007080
"Case 6 (OS, 1x1)",17,-42.353722,88.558113,-0.018756,-307.297150
"Case 6 (OS, 1x1)",18,-42.296062,86.555016,0.031486,515.858582
"Case 6 (OS, 1x1)",19,-42.514397,84.431633,0.021590,353.729126
"Case 6 (OS, 1x1)",20,-42.647579,84.003250,0.070084,1148.249023
"Case 6 (OS, 1x1)",21,-43.285995,86.404930,0.017987,294.701141
"Case 6 (OS, 1x1)",22,-43.026348,85.102478,0.121625,1992.700195
"Case 6 (OS, 1x1)",23,-43.762817,86.399689,-0.006136,-100.533791
"Case 6 (OS, 1x1)",24,-42.334057,85.276527,0.030892,506.139862
"Case 6 (OS, 1x1)",25,-42.972694,82.966316,0.107307,1758.114014
"Case 6 (OS, 1x1)",26,-42.899197,83.300331,0.052649,862.593872
"Case 6 (OS, 1x1)",27,-42.374596,84.214973,0.053841,882.133057
